scenario,switch_buffer,min_hold_days,window,start,end,days,cagr,maxdd,sharpe,asset_changes,trade_count_delta,turnover_sum,cash_days,position_segments,non_cash_segments,avg_non_cash_hold_days,median_non_cash_hold_days,max_non_cash_hold_days,one_day_non_cash_segments,le2_day_non_cash_segments,le2_day_segment_share
switch_buffer_1.04,1.04,0,3Y,2023-05-08,2026-05-08,727,1.0298586805642125,-0.1654930171185761,2.7834017123250008,94,166,160.5,53,95,88,7.659090909090909,5.0,46,6,19,0.2159090909090909
switch_buffer_1.04,1.04,0,1Y,2025-05-08,2026-05-08,243,0.9652709285632304,-0.12745283936086715,2.8542652944088056,39,64,61.5,18,40,37,6.081081081081081,4.0,42,6,11,0.2972972972972973
switch_buffer_1.05,1.05,0,from_2020,2020-01-02,2026-05-08,1535,0.6173114209797326,-0.18114818211576256,1.9665941354978582,207,358,338.5,107,208,188,7.595744680851064,5.0,46,17,46,0.24468085106382978
switch_buffer_1.05,1.05,0,3Y,2023-05-08,2026-05-08,727,1.0298586805642076,-0.1654930171185759,2.7834017123249963,94,166,160.5,53,95,88,7.659090909090909,5.0,46,6,19,0.2159090909090909
switch_buffer_1.05,1.05,0,1Y,2025-05-08,2026-05-08,243,0.9652709285632215,-0.12745283936086627,2.854265294408796,39,64,61.5,18,40,37,6.081081081081081,4.0,42,6,11,0.2972972972972973
switch_buffer_1.06,1.06,0,from_2020,2020-01-02,2026-05-08,1535,0.6192807128993656,-0.18114818211576267,1.9715595674474875,205,357,337.0,107,206,186,7.67741935483871,5.0,46,15,43,0.23118279569892472
switch_buffer_1.06,1.06,0,3Y,2023-05-08,2026-05-08,727,1.0234189781769563,-0.1654930171185759,2.7708153142528102,92,165,159.0,53,93,86,7.837209302325581,5.0,46,4,16,0.18604651162790697
switch_buffer_1.06,1.06,0,1Y,2025-05-08,2026-05-08,243,0.9466767195677059,-0.1274528393608667,2.813468914057851,37,63,60.0,18,38,35,6.428571428571429,5.0,42,4,8,0.22857142857142856
switch_buffer_1.07,1.07,0,from_2020,2020-01-02,2026-05-08,1535,0.5994043137028757,-0.1811481821157629,1.9204461017117178,203,356,336.0,107,204,184,7.760869565217392,5.0,46,13,43,0.23369565217391305
switch_buffer_1.07,1.07,0,3Y,2023-05-08,2026-05-08,727,0.9897982865634958,-0.1654930171185759,2.7089193865315706,90,163,157.0,53,91,84,8.023809523809524,5.5,46,3,15,0.17857142857142858
switch_buffer_1.07,1.07,0,1Y,2025-05-08,2026-05-08,243,0.861421776135967,-0.12738763381095464,2.6361249474147805,35,61,58.0,18,36,33,6.818181818181818,5.0,41,3,7,0.21212121212121213
switch_buffer_1.08,1.08,0,from_2020,2020-01-02,2026-05-08,1535,0.6009944393444777,-0.1811481821157629,1.9246263127546936,203,356,336.0,107,204,184,7.760869565217392,5.0,46,13,42,0.22826086956521738
switch_buffer_1.08,1.08,0,3Y,2023-05-08,2026-05-08,727,0.9809280598253545,-0.16549301711857667,2.6919713792575917,91,164,157.0,53,92,85,7.929411764705883,5.0,46,4,16,0.18823529411764706
switch_buffer_1.08,1.08,0,1Y,2025-05-08,2026-05-08,243,0.8678780837109457,-0.12738763381095486,2.64941161510444,35,61,58.0,18,36,33,6.818181818181818,5.0,41,3,7,0.21212121212121213
